n_min,Expected,Actual_Mean,Actual_SD,diff
8,0.1,NaN,NaN,NaN
8,0.2,0.216199631547,0.0164688296611107,0.016199631547
8,0.3,0.3093173058,0.0228434637994986,0.00931730580000018
8,0.4,0.405373490427,0.0287355227961294,0.00537349042700008
8,0.5,0.502056643998,0.0369914550343018,0.00205664399799999
8,0.6,0.600620482969,0.0416057009289152,0.00062048296900008
8,0.7,0.697622620553,0.0473320743311612,0.00237737944699989
8,0.8,0.795107276131,0.0546162747284097,0.00489272386899986
8,0.9,0.901539358978,0.0587744517119609,0.00153935897799984
8,0.99,0.984778952118,0.0618781397866802,0.00522104788199962
10,0.1,NaN,NaN,NaN
10,0.2,0.215538047894,0.0155491977121152,0.015538047894
10,0.3,0.308352171281,0.0227777628531931,0.00835217128100002
10,0.4,0.405477751212,0.0286702623420346,0.00547775121199978
10,0.5,0.501048540773,0.0362397595130171,0.0010485407730001
10,0.6,0.59663095493,0.0425055554080508,0.00336904507000002
10,0.7,0.694977071872,0.0493686192152828,0.00502292812800031
10,0.8,0.796849079056,0.0534340054262276,0.00315092094400027
10,0.9,0.899158051186,0.0604307461034133,0.000841948813999682
10,0.99,0.991831634155,0.0640468382967592,0.00183163415500043
12,0.1,NaN,NaN,NaN
12,0.2,0.215660684084,0.0163617329918927,0.015660684084
12,0.3,0.30792587496,0.0230871256285821,0.00792587496000013
12,0.4,0.407203849188,0.0298628885470395,0.00720384918800004
12,0.5,0.50181421784,0.0359741778689684,0.00181421784000013
12,0.6,0.598711011509,0.0441574245010602,0.00128898849099979
12,0.7,0.695178532778,0.0494371701492614,0.00482146722199972
12,0.8,0.793458647152,0.0524558283457549,0.00654135284799995
12,0.9,0.899912111987,0.0585071711612009,8.78880129999704e-05
12,0.99,0.988677965707,0.0637598501819706,0.00132203429300015
14,0.1,NaN,NaN,NaN
14,0.2,0.214700840021,0.01629238835672,0.0147008400209999
14,0.3,0.309640169702,0.0230658321744863,0.0096401697020001
14,0.4,0.407462809285,0.0297513246929811,0.00746280928500004
14,0.5,0.502446116392,0.0372034910973471,0.0024461163920001
14,0.6,0.59579428391,0.0421453241530737,0.00420571608999976
14,0.7,0.694818291734,0.048992505698356,0.00518170826600017
14,0.8,0.800503446187,0.0528742116788068,0.000503446187000045
14,0.9,0.898917202592,0.0580576267437839,0.0010827974080001
14,0.99,0.990132962666,0.0628904368712525,0.00013296266600038
16,0.1,NaN,NaN,NaN
16,0.2,0.214934469421,0.0167851738523687,0.0149344694209999
16,0.3,0.309230980333,0.0231966174191475,0.00923098033299974
16,0.4,0.404628264854,0.0307654936073621,0.00462826485399986
16,0.5,0.501204902801,0.0363740393059875,0.00120490280100016
16,0.6,0.596026833711,0.0426298649632588,0.00397316628899991
16,0.7,0.692614472511,0.0489780840980359,0.0073855274889999
16,0.8,0.79670819864,0.0563155781145662,0.00329180136000029
16,0.9,0.897885870207,0.0591287045069366,0.00211412979300007
16,0.99,0.984709440269,0.0597048073030447,0.00529055973099979
18,0.1,NaN,NaN,NaN
18,0.2,0.214766772619,0.0162445949942071,0.014766772619
18,0.3,0.307636075538,0.0227765960308786,0.00763607553799983
18,0.4,0.405298053149,0.0304196396577352,0.00529805314899995
18,0.5,0.502768860975,0.036388347625039,0.00276886097499984
18,0.6,0.59722369614,0.0424960772844586,0.00277630385999994
18,0.7,0.694926496191,0.0498439905663832,0.00507350380899974
18,0.8,0.793854653533,0.0550367796765421,0.00614534646700016
18,0.9,0.901964409919,0.0579648955195258,0.00196440991900027
18,0.99,0.992929253994,0.0625698581890308,0.0029292539939999
20,0.1,NaN,NaN,NaN
20,0.2,0.216879291765,0.0160584274493459,0.016879291765
20,0.3,0.308355460642,0.0218476328620414,0.00835546064199993
20,0.4,0.4058134202,0.0299093344454264,0.00581342019999981
20,0.5,0.503596348691,0.0354187035350728,0.00359634869100023
20,0.6,0.597424053113,0.0434827619587744,0.00257594688699991
20,0.7,0.692847156836,0.0478793415604522,0.00715284316400011
20,0.8,0.796122724962,0.0539023693393862,0.00387727503800006
20,0.9,0.897724598724,0.0571095469373926,0.00227540127600012
20,0.99,0.992033375185,0.0597379197302362,0.00203337518500035
