Length,Expected,Actual_Mean,Actual_SD,diff
200,0.1,0.1400893375165,0.0238515645224711,0.0400893375165
200,0.2,0.227715740547,0.0358699887522848,0.027715740547
200,0.3,0.318610154082,0.047562137402886,0.018610154082
200,0.4,0.413380777543,0.0564747561704591,0.013380777543
200,0.5,0.5084114319085,0.0658528884018658,0.00841143190850002
200,0.6,0.610205031153,0.0737920228898367,0.010205031153
200,0.7,0.704947570981,0.0791176311128553,0.00494757098100007
200,0.8,0.8071479500885,0.0825982562207719,0.0071479500885
200,0.9,0.904118054421,0.0876875971649214,0.00411805442099999
200,0.99,0.9963768398785,0.0903414367381497,0.00637683987850002
300,0.1,0.130456873806,0.0185927523006907,0.030456873806
300,0.2,0.2208846238275,0.0284661349919845,0.0208846238275
300,0.3,0.3135108529755,0.0374574573380381,0.0135108529755
300,0.4,0.407082022202,0.0463472804581698,0.00708202220199999
300,0.5,0.5035122256995,0.0538122892357,0.00351222569950005
300,0.6,0.6026577644345,0.0598055920520324,0.00265776443450005
300,0.7,0.696412535704,0.0624142842011151,0.00358746429599999
300,0.8,0.799364631416,0.0675137630946039,0.00063536858400004
300,0.9,0.8973647470495,0.0728112281605046,0.00263525295050004
300,0.99,0.9882617289675,0.0736956825196202,0.00173827103250002
400,0.1,0.127755713884,0.0154388528276182,0.027755713884
400,0.2,0.218414496706,0.0248952643386155,0.018414496706
400,0.3,0.3123392281785,0.0326734782787256,0.0123392281785
400,0.4,0.408903936853,0.041783625931833,0.00890393685300001
400,0.5,0.5057270705655,0.047402175262631,0.00572707056550004
400,0.6,0.603064429853,0.0526067469377223,0.00306442985300004
400,0.7,0.7034324827825,0.0568713209522796,0.00343248278250008
400,0.8,0.8045808993045,0.0596927035107957,0.00458089930450001
400,0.9,0.900472955784,0.0617263700606935,0.000472955783999973
400,0.99,0.9930888022185,0.064843896824114,0.00308880221850005
500,0.1,0.123516671079,0.0143022682638777,0.023516671079
500,0.2,0.215687118108,0.0227294204811808,0.015687118108
500,0.3,0.3080559144675,0.0304892618681864,0.00805591446750004
500,0.4,0.4046918281775,0.0374272827848395,0.00469182817749997
500,0.5,0.4990779083765,0.0417237139947272,0.000922091623499988
500,0.6,0.5995165750965,0.0472708565936798,0.000483424903499952
500,0.7,0.69638961808,0.0511098523574392,0.00361038191999996
500,0.8,0.79369176977,0.0541929122532883,0.00630823023000004
500,0.9,0.8914875856375,0.0564950127879519,0.00851241436250005
500,0.99,0.9807119128715,0.0585462312128004,0.00928808712850004
600,0.1,0.1225882570295,0.0130517367637068,0.0225882570295
600,0.2,0.2150703083115,0.0206893793736182,0.0150703083115
600,0.3,0.3101333308265,0.0291950049915897,0.0101333308265
600,0.4,0.4052737324525,0.0339324617867086,0.00527373245249996
600,0.5,0.502646592611,0.0377220163363126,0.00264659261099998
600,0.6,0.6018479153865,0.0444739987884571,0.00184791538649998
600,0.7,0.6996079485205,0.0468872907040089,0.000392051479499944
600,0.8,0.7967416311465,0.0503327216815534,0.00325836885350006
600,0.9,0.898793825966,0.0526923767694878,0.00120617403400003
600,0.99,0.9896755569625,0.0532599462234015,0.000324443037500011
700,0.1,0.1217264872585,0.0122555894565989,0.0217264872585
700,0.2,0.214608947423,0.0200656096557019,0.014608947423
700,0.3,0.3085800407735,0.0263841126423189,0.0085800407735
700,0.4,0.408107114487,0.0322877995010106,0.00810711448699997
700,0.5,0.5028022446755,0.0368583067283335,0.00280224467550005
700,0.6,0.602335983196,0.0400593037486104,0.00233598319600004
700,0.7,0.701643105232,0.0440620401921104,0.00164310523200006
700,0.8,0.800875271599,0.0455452611672865,0.000875271598999916
700,0.9,0.900378843808,0.0491266289453503,0.000378843808000018
700,0.99,0.9901841265415,0.0509815675601463,0.000184126541500018
800,0.1,0.1210134872525,0.0112599175824052,0.0210134872525
800,0.2,0.213354925593,0.0185791906372958,0.013354925593
800,0.3,0.310079505871,0.0250528844021292,0.010079505871
800,0.4,0.406613716651,0.0309908213559093,0.00661371665099997
800,0.5,0.5033450424225,0.0341959688346846,0.0033450424225
800,0.6,0.603602822423,0.0387121842861515,0.00360282242300003
800,0.7,0.703684483024,0.0406658878482988,0.00368448302400004
800,0.8,0.8043112374255,0.0440380951640215,0.00431123742549999
800,0.9,0.904400147803501,0.0463107551265882,0.00440014780350095
800,0.99,0.9936096933195,0.0475546075533372,0.00360969331950001
900,0.1,0.12019172558,0.0109773875920112,0.02019172558
900,0.2,0.212711125361,0.0178849018114164,0.012711125361
900,0.3,0.309986320119,0.0239098686946961,0.00998632011900003
900,0.4,0.405949660612,0.0297620399002678,0.00594966061199997
900,0.5,0.503141887605,0.0325013165951645,0.003141887605
900,0.6,0.6012781345605,0.0357009260251027,0.00127813456050008
900,0.7,0.7018489331845,0.0384045981637,0.00184893318450008
900,0.8,0.801762060148,0.0420792079655331,0.00176206014799996
900,0.9,0.902234277554,0.0441359632416381,0.00223427755399996
900,0.99,0.9914581553985,0.0467511745227075,0.00145815539850003
1000,0.1,0.1187742437575,0.0104992016163892,0.0187742437575
1000,0.2,0.2119626067135,0.0167329099104841,0.0119626067135
1000,0.3,0.3075153126405,0.0223913970852733,0.00751531264050004
1000,0.4,0.404485136885,0.0274749919688103,0.00448513688499996
1000,0.5,0.501973947867,0.0317360598690406,0.001973947867
1000,0.6,0.6016318766635,0.0352342095106136,0.00163187666350006
1000,0.7,0.699331721934,0.038033593806675,0.000668278066000005
1000,0.8,0.7981043913125,0.0409125071635127,0.00189560868750005
1000,0.9,0.8998350426485,0.0425278807141194,0.000164957351500017
1000,0.99,0.989386164252,0.0449291081835081,0.000613835748000002
1100,0.1,0.1166137228915,0.0100045501643854,0.0166137228915
1100,0.2,0.209916111267,0.0169204567772001,0.00991611126699998
1100,0.3,0.3060165979805,0.0223320505972246,0.00601659798050003
1100,0.4,0.4028997333635,0.026233946469027,0.00289973336349997
1100,0.5,0.500408598535,0.0315662202912331,0.000408598534999971
1100,0.6,0.5993607649245,0.034111280938846,0.000639235075500011
1100,0.7,0.6964605128735,0.0360437171997377,0.00353948712649998
1100,0.8,0.7947860193125,0.0387714242469464,0.00521398068750001
1100,0.9,0.8944763250515,0.0399813624966983,0.00552367494850003
1100,0.99,0.9837760725725,0.04274647445449,0.0062239274275
